logFC	AveExpr	t	P.Value	adj.P.Val	B
FILIP1L	3.5904043476404	3.94005960723208	25.2262601465906	1.73036048165786e-12	2.84391400393091e-10	19.0035892173506
NPB	-5.05184529876434	2.03155825996958	-25.4817095107351	1.52021905868355e-12	2.57785717522483e-10	18.9861612239011
IQSEC1	-2.04445039271134	5.9859823047128	-24.936541456356	2.00713928183498e-12	3.2003386489318e-10	18.9380739200325
GPR160	-2.82523615373049	3.40274103603434	-24.642867294986	2.33688392127013e-12	3.6713133721954e-10	18.8699657376928
FA2H	-4.10286209202985	1.79401787711686	-25.20064783686	1.75309180859546e-12	2.85927935743897e-10	18.8532422841863
EHD3	-3.04112367484635	4.01229484160767	-24.47683605445	2.54870749867853e-12	3.91767513789679e-10	18.7782515528519
C10orf95	-3.07755145666593	3.57561242522512	-24.426100332624	2.61748420538221e-12	3.96632393845364e-10	18.7582458108596
ECM1	-5.48682864910537	2.53973940706028	-24.7212244103201	2.24355977617745e-12	3.55080727243018e-10	18.7430866590045
ASNS	-2.86880454167687	5.39805506610208	-24.515007510166	2.49824385344779e-12	3.86793320092503e-10	18.7393605267994
TBPL1	-1.94184628818213	5.00528015465923	-24.4575013565227	2.57468553144775e-12	3.92933793320805e-10	18.7120820301354
LGALSL	-2.99504590988525	5.84628070662602	-24.4077552711563	2.642841348685e-12	3.97654565183125e-10	18.6686609497397
POU2F3	-5.51712966975845	1.45367193693528	-25.3855747650453	1.59589286462178e-12	2.65105932106278e-10	18.632972484517
CHAC1	-6.15837663638083	2.48779035406734	-24.6153718465359	2.37061318650409e-12	3.69711834619317e-10	18.6247830058639
EHD1	-2.44176673716389	7.74483158164025	-24.3163410573483	2.77319454212464e-12	4.14350171937308e-10	18.6152468728783
SLC30A1	-1.5190131905747	6.65298675956984	-24.1832804307569	2.9754358261789e-12	4.3843559904923e-10	18.5230783234148
ELOVL4	-2.93348616596469	3.91318004293334	-23.9697979718846	3.33377401996083e-12	4.81023902937812e-10	18.5095723898016
TENT5B	-2.4599667772152	3.78817792816767	-23.9640996244681	3.34395284273904e-12	4.81023902937812e-10	18.5079751780797
SMARCA2	1.48059241396265	8.26598826755678	24.0697044906786	3.16061933580738e-12	4.62532826910003e-10	18.4747832953811
