logFC	AveExpr	t	P.Value	adj.P.Val	B
SYNPO2	-2.03579069939314	3.61147767555198	-10.2306107668637	7.63679786628589e-08	1.90492703511868e-05	8.50963025395131
ENSG00000269993	-2.50527459890988	4.15215059995555	-10.1909793463297	8.0117046006611e-08	1.90492703511868e-05	8.46922663859738
NKX2-8	2.35762696777649	4.56288054522189	10.1796838861662	8.12210596975923e-08	1.90492703511868e-05	8.4546485946633
MTSS2	1.61551303539756	5.84348580469142	10.1724436361685	8.19372173800223e-08	1.90492703511868e-05	8.37677297337887
TBX3	-2.54269613918287	4.77327759115327	-10.1313551274647	8.61306416335067e-08	1.96035420129657e-05	8.37394086335388
HHIP	-1.47332344445304	5.91547124762779	-10.1927983134158	7.99407576138635e-08	1.90492703511868e-05	8.35262395169384
ILDR2	1.16874045241867	6.19186462782817	10.1835793557981	8.08385018380699e-08	1.90492703511868e-05	8.35029624188933
NRCAM	-1.05905976529983	6.21104311275382	-10.1705001193261	8.21305980825475e-08	1.90492703511868e-05	8.30129915874475
HOTAIRM1	5.40281043199173	5.56176993276742	10.0813092002643	9.15487220458703e-08	2.04010044323787e-05	8.28329609987565
GIPR	3.06177334897977	4.71564217864682	10.0227174243827	9.83560678464647e-08	2.12917468776204e-05	8.26228990173791
CRABP2	-0.979781921144818	8.1611834840853	-10.2319571955332	7.62439320660643e-08	1.90492703511868e-05	8.23255009304058
EPB41L2	1.10941028716599	8.07670858539844	10.1907377294339	8.01404938139764e-08	1.90492703511868e-05	8.21971161372091
KIAA1217	-1.21389481259951	4.67902198301833	-10.0074193682248	1.00220648052823e-07	2.14907106626479e-05	8.21804707278659
POU3F2	2.48598040596134	4.02695573218013	9.99041696941782	1.02337130548104e-07	2.16109245848818e-05	8.19604603993938
BAIAP3	3.00784446099012	3.70153134098452	10.0580610454863	9.41878221121772e-08	2.05854730443249e-05	8.17666952571351
HOXB1	4.80488294614433	2.32116003934717	12.2178757913206	8.19881389190429e-09	4.05128347310836e-06	8.17046855090864
GNAI1	1.06370710564526	5.21914513703101	9.9705444893362	1.04871258389728e-07	2.18690247999864e-05	8.15711239315457
SPON1	2.83638534749886	9.94640386835312	10.1732570088586	8.18564302197663e-08	1.90492703511868e-05	8.10214094247231
NKX6-1	4.6395297318626	2.99720966063619	10.8487420295272	3.68328053014762e-08	1.16279120069799e-05	8.0917306794219
LDB2	2.38349819475822	4.50018544742038	9.86896949155098	1.18908213525643e-07	2.4131997262838e-05	8.08143482991222
DDC	1.89691095547707	3.92385188326564	9.87570369706246	1.17918409402191e-07	2.4131997262838e-05	8.07597151917563
OBSL1	1.26573050486479	6.95657105437691	9.98767569803832	1.02682791692355e-07	2.16109245848818e-05	8.04685695620742
IER5L	1.54224437338318	6.60158175565439	9.94319150271669	1.08468926867798e-07	2.24136246155004e-05	8.02543383389253
CHCHD2	-0.750299829678299	8.29776099377177	-10.0592122884129	9.40552491814186e-08	2.05854730443249e-05	8.00699840581041
BGN	1.72847674214588	4.64245332679734	9.80166337612563	1.29300351085411e-07	2.50702885351308e-05	7.99445544016992
LOX	-1.2804734587282	5.27652696739516	-9.8259370141329	1.25445353967731e-07	2.49054131393835e-05	7.94494648075813
CDH10	2.33448106445034	3.79113676099134	9.75074682311099	1.37801545990649e-07	2.56740093472742e-05	7.89574036200212
LINC01551	-2.81304803296536	2.77857584655626	-9.78505421811873	1.32010529349953e-07	2.51277521284826e-05	7.89384617429709
ENSG00000272851	-2.08116427508181	3.34242963110999	-9.71467916155018	1.44181763063554e-07	2.64294473744724e-05	7.88293793181672
PDE8B	3.39079388391919	2.88494917939555	10.1192815245202	8.7405787338447e-08	1.96706291703258e-05	7.86266720159339
PLCB1	1.18026563668689	5.98654490866003	9.78113615295472	1.32658612204923e-07	2.51277521284826e-05	7.85989828940914
