logFC	AveExpr	t	P.Value	adj.P.Val	B
PRKAG2	-2.91959251195509	5.19223039544864	-48.7106494462352	5.40039122775971e-17	4.27350959156719e-14	29.4177429557243
FIBCD1	-3.77831418988882	4.22836630873164	-49.0549100749559	4.89716353403425e-17	4.18531184272703e-14	29.3102012684277
GNG12	-2.43256439775638	6.83481788527157	-48.0730065126856	6.48482827381379e-17	4.94838717493948e-14	29.2824256296343
GPT2	-2.94535781304787	6.52594279021618	-47.5443715150903	7.56100806074163e-17	5.38494994086019e-14	29.1282554924575
OTUD3	-2.82862404290056	4.82129918769351	-47.2923645461331	8.14002765234575e-17	5.61031712322643e-14	28.9934884271372
CSNK2A2	-2.73739208536669	7.22191053483468	-46.6933924033421	9.71574004997607e-17	6.4870781846184e-14	28.8818923995262
MMP15	-3.21188521044926	6.80543383025061	-46.1657721082197	1.13758142404161e-16	7.36532263820392e-14	28.7241291187465
TCL1B	-4.44641283516972	3.66909378848444	-47.609777902005	7.41805101083652e-17	5.38494994086019e-14	28.6550553760527
CGB5	-6.10839174643503	6.63783852707003	-45.4450364870137	1.41521930411802e-16	8.63930732908162e-14	28.4942439768899
ADM	-3.23320029589504	6.05734121217555	-45.203304179207	1.52393379803622e-16	9.04454709134495e-14	28.4301782041959
VEGFA	-2.39769589521071	7.60630126219562	-44.6093606172608	1.83091080354736e-16	1.05727676293494e-13	28.2501318830168
FNDC3A	-2.22949345866737	7.28942700344861	-43.7400572084451	2.40562104827807e-16	1.35259208730288e-13	27.9766232428901
FBN2	2.04918566744241	8.94227719513091	43.1680091269182	2.88749304371855e-16	1.51304692372898e-13	27.7935315807682
CAV1	-6.62517337461854	2.79440937335755	-49.26514121037	4.61474356599079e-17	4.1082754596233e-14	27.7379326014018
SMOX	-3.17216567770213	4.45344205025694	-43.1508670842828	2.90344116226193e-16	1.51304692372898e-13	27.7245608945694
CKMT1B	-5.58375098612268	3.13976453656996	-45.7296278778826	1.2977714843428e-16	8.15534868660834e-14	27.6500775046822
HDAC5	-2.44917503745027	7.52697584487427	-42.0680015187209	4.13001868616161e-16	1.96940259455816e-13	27.4332669232098
PHKG2	-2.88292948069698	5.71104021591131	-41.9608563636127	4.27863392546635e-16	1.96940259455816e-13	27.4022321711468
SLC2A12	-3.71411523212842	5.19475265078308	-41.9521590184173	4.29094640918167e-16	1.96940259455816e-13	27.3880623943085
CDH5	-5.97565886297109	5.42089873489243	-41.9232072819471	4.33220640008582e-16	1.96940259455816e-13	27.3468438038971
ENDOU	-4.71986229192237	3.26825014986336	-43.5277954567397	2.57353226088256e-16	1.40989975092351e-13	27.3438922917998
AIF1L	-2.24841470470533	7.6252376314756	-41.6218565003106	4.78781099123132e-16	2.09702416153632e-13	27.2839994824292
EHD1	-2.34444191142475	7.79675439790537	-41.5087012951508	4.97191734073646e-16	2.09702416153632e-13	27.2460254466803
NFKB2	-2.91697089205941	5.83704335587585	-41.4885251665058	5.00553366275167e-16	2.09702416153632e-13	27.2453158063792
FANCA	-2.11269101361772	5.71172598001712	-41.3283089203601	5.28127948419919e-16	2.12905315961132e-13	27.1913854948558
FOXO6	-2.07368444446466	7.6512015912409	-41.1258427512911	5.65323180316586e-16	2.23679538345262e-13	27.1159970644894
ARHGAP42	-4.23366496406087	3.70591067033219	-41.593967026906	4.83249946483697e-16	2.09702416153632e-13	27.0343471115655
CLEC11A	-4.45101939193832	3.40060249443749	-42.0052213050681	4.21641432068902e-16	1.96940259455816e-13	27.0203439768448
AXIN2	-2.18056574770022	5.94029940481988	-40.7493277259834	6.42164742984924e-16	2.45008783903855e-13	26.9937645721755
EEPD1	-4.16531221536056	4.14045691434469	-40.9320617114399	6.03560782696118e-16	2.34466903328823e-13	26.9397366516034
MFSD13A	-4.40417135094568	3.08920063893173	-42.1589235733425	4.00824024630866e-16	1.96940259455816e-13	26.9188836272918
STON1	2.10077251092237	6.94866480997111	40.4850860564309	7.02737000817093e-16	2.63415416832597e-13	26.9054717494805
ANGPT4	-2.92198673237386	5.19909340876112	-40.3677711737807	7.31565522735012e-16	2.69493602737177e-13	26.8654349270849
KAZN	-2.33151848579605	6.12616641623882	-40.229875820704	7.67080004911493e-16	2.77786972626084e-13	26.8134365291921
LRRC8D	-2.02031502938488	5.80042379912633	-40.0974083692869	8.0294022892565e-16	2.85927015520424e-13	26.7697737106372
GNE	-2.36766037654466	6.32626425508833	-40.0352056148046	8.20394899793827e-16	2.86135611152121e-13	26.7439767105514
LGALSL	-2.53385008548342	6.13410437724808	-40.0004988329895	8.30310207405763e-16	2.86135611152121e-13	26.7338797764451
PGF	-4.27057115077288	8.77646454448588	-39.9306803813163	8.50647437055027e-16	2.88491002224091e-13	26.7070019652166
FADS3	-2.19232225068318	7.36081009396388	-39.8322591179708	8.80227467259841e-16	2.93858438523027e-13	26.6680420930616
ATAD1	-2.58465173359773	5.42100238610663	-39.7508986262311	9.05511875017241e-16	2.96018317204761e-13	26.652947658626
ZFP36L2	-2.90336424329731	5.45348969931655	-39.7228545773469	9.14406483923721e-16	2.96018317204761e-13	26.6433756036632
SLCO4A1	-4.12901082497936	5.44074718966486	-39.6062168220293	9.52416546385633e-16	3.03721372090678e-13	26.6020640757578
BAIAP2	-2.02322990586556	6.31004264541674	-39.4931667229637	9.90876365765278e-16	3.06827020738274e-13	26.5524848783508
SDC2	-2.93230127255739	4.10400175953728	-39.558092992105	9.68589251853383e-16	3.04336440516167e-13	26.5326845840364
WNK2	-2.80416413631894	6.47634300176935	-39.352671961279	1.04100624136378e-15	3.17744847899694e-13	26.5029027309592
TBC1D10A	-1.79889885582858	5.9981995833765	-39.1920518524933	1.10166585634455e-15	3.26972491621179e-13	26.4480435780539
DEPDC1B	-2.54279407344589	5.15027601172254	-39.0762208007501	1.14775516575814e-15	3.26972491621179e-13	26.4166215233785
BCAR4	-2.8582848066887	4.54220926805059	-39.0953037973626	1.14002210075159e-15	3.26972491621179e-13	26.4107069574467
UAP1	-2.1059970120405	5.91635214234634	-39.0802404830252	1.14612159856383e-15	3.26972491621179e-13	26.4096068741889
RAB3IL1	-3.07015691674985	4.4454371269038	-38.5645529265279	1.37753025772375e-15	3.82237811513319e-13	26.2174317523519
ADAMTS3	-3.62427505851457	3.8991937836789	-38.7666853797567	1.28135717842044e-15	3.60229966764884e-13	26.2127362784517
PDIA3	-2.18536512002273	9.94162650663942	-38.3200339617338	1.50431959537856e-15	4.12067852241773e-13	26.1296305833731
CRIP2	-7.47965207218633	3.20999893539188	-41.382418784724	5.18637485680223e-16	2.12905315961132e-13	26.1262482532375
EIF2B2	-3.33094334836574	6.05826809082703	-38.1973022694173	1.57262033761707e-15	4.25324128272485e-13	26.0921707756976
ALAS1	-1.98752117781282	7.70044079946992	-38.1070005049777	1.6249916357501e-15	4.33994641117957e-13	26.044377734172
FAM43A	-3.26773120449463	6.63020382491404	-37.8834409036967	1.76285418539527e-15	4.65001759569818e-13	25.968842415671
IQGAP2	-3.34784160934671	3.7192690547266	-37.8179843717875	1.80555141600112e-15	4.70456238466828e-13	25.867949218611
PSAT1	-3.09650135329892	5.49924465612783	-37.5199065240398	2.01448663707027e-15	5.12399065329089e-13	25.849927171129
LAP3	-1.84225986571836	6.08140565546956	-37.0118371856395	2.43266127965302e-15	6.04374894198447e-13	25.6430404658935
IGSF8	-2.45439203501834	4.47223875760718	-36.9149369664101	2.52249500078987e-15	6.05568856032318e-13	25.6274609576398
KIF13A	-2.05772562545466	6.17426694688521	-36.9322761847946	2.50616284635858e-15	6.05568856032318e-13	25.6118117171658
ELF3	-1.73275812771304	7.13967981740833	-36.9525832099751	2.48717910580343e-15	6.05568856032318e-13	25.6104812593446
CYYR1	-5.13168302505236	2.53821404901716	-39.1359312471408	1.12374374145037e-15	3.26972491621179e-13	25.5836113405634
METTL7A	2.02404473936615	7.08304239565636	36.7086851301208	2.72575473226022e-15	6.47094173438577e-13	25.5333901556575
PIK3CB	-1.82921557562895	6.17944937652437	-36.5269267537829	2.91944605711072e-15	6.85460268749754e-13	25.4555477983751
MME	1.95440375169994	8.64961407283433	36.4402975771179	3.01690336191481e-15	7.00643013376868e-13	25.4146524935759
SLC39A10	-2.17338938083692	6.65319109771976	-36.3649243723173	3.10453419474801e-15	7.13241694677268e-13	25.3876024858776
IER5L	-2.54773993574236	7.0261951483763	-36.2238642479561	3.27594462224231e-15	7.44615242540736e-13	25.3311646675687
GATA2	-2.34299241048508	9.26010561841963	-36.1433481796052	3.378305216544e-15	7.59798623754516e-13	25.3023504701323
SERPINE1	-2.73751567587087	7.62735299466178	-35.9458679608427	3.64415092759662e-15	8.11051340823222e-13	25.2214677972641
LYPD5	-5.33798625101875	2.89811827990102	-37.1586243464248	2.30304275179622e-15	5.78903663939741e-13	25.1781372548982
IL36RN	-2.48739016626894	4.18769475855551	-35.6881310249748	4.02530871302994e-15	8.70321898969206e-13	25.1566322874767
SPATA13	-2.77920588044376	5.09680432426647	-35.6799815486595	4.03803630928284e-15	8.70321898969206e-13	25.1546207629734
GADD45B	-2.38310368996366	4.11623601880052	-35.6574839909826	4.07339651300761e-15	8.70321898969206e-13	25.1425379127023
IQSEC1	-1.95941902204014	6.02932801802318	-35.6222882853443	4.12938164382606e-15	8.73548200019679e-13	25.1047125907355
S100P	-2.44639785671499	6.15571711963942	-35.5368291648157	4.26877830380824e-15	8.85502109118125e-13	25.0702504464171
CTSL	-1.93986193113754	7.88991007161739	-35.5533607185598	4.2414247429208e-15	8.85502109118125e-13	25.0638883082211
ASNS	-3.26121755403918	5.12466653273301	-35.3978942270313	4.5062700296523e-15	8.99822107042533e-13	25.0461106730453
ZBTB7B	-1.85570812741025	6.5725469208286	-35.4319062901222	4.4468512463727e-15	8.99822107042533e-13	25.0200792005492
QSOX1	-1.90911098788351	8.56202633967061	-35.4372054806153	4.43766939977175e-15	8.99822107042533e-13	25.0191128171222
MGAT3	-1.75368063259308	7.33078803124979	-35.3246610658634	4.63711359030823e-15	9.17375638615977e-13	24.9723360307891
FOXJ2	1.69581565636587	6.46436448133686	35.1587200293403	4.94889258616038e-15	9.70073752255987e-13	24.9375900113838
