logFC	AveExpr	t	P.Value	adj.P.Val	B
EPCAM	3.25682583207359	6.70381888088311	23.8114837363862	4.12989998327928e-12	4.45537543434248e-09	18.3004968228608
WLS	2.80851751847644	6.86021936682496	23.1893144023348	5.78454811827388e-12	5.69777989649977e-09	17.972893448639
LIN28A	2.85291090055387	6.88224128395202	22.1686109154235	1.02484526465932e-11	9.38491860662461e-09	17.4038225527046
FBN2	2.30518071997502	7.37749375358041	22.1503266659694	1.03563436400625e-11	9.38491860662461e-09	17.3856280931964
TUBB3	-2.77693155560626	7.62817940498485	-21.9776014736555	1.14379582452004e-11	9.96642092480827e-09	17.2945205192319
ADAMTS19	5.26593370587242	4.41603496505857	23.4676972155729	4.96977771028048e-12	5.11774154665474e-09	17.2492334642228
CDH1	3.06171661431886	6.87210735567724	21.5634558521908	1.45585599284309e-11	1.18064675116509e-08	17.0531515439491
MARVELD3	3.55752440568379	5.09402796265798	21.4999456432622	1.51131122417955e-11	1.18064675116509e-08	16.8870666989285
GASK1B	-3.81362080347088	6.22447447816934	-21.5319315165649	1.48310360006083e-11	1.18064675116509e-08	16.866431446761
IVNS1ABP	2.07188621249405	7.62148858580129	21.1752702083199	1.83260992069013e-11	1.321756426453e-08	16.7999012229983
IGDCC3	2.43917696677138	8.5025777079809	21.0844353212017	1.93512594542158e-11	1.321756426453e-08	16.7064207260112
SERPINB9	4.29539057262097	5.49933638243554	21.0924914449045	1.92578937588494e-11	1.321756426453e-08	16.6894646118858
PAPPA	-4.57774697854618	6.91834759387576	-21.0802942579653	1.9399441133407e-11	1.321756426453e-08	16.6857999816091
S100A6	-2.76708259618538	7.96296409604273	-20.8942063656234	2.17034686306362e-11	1.4048345195059e-08	16.6487473501758
CGNL1	2.96418504460841	5.22192843618526	20.7417612159955	2.38102757134661e-11	1.45301976495197e-08	16.5046099296079
CTSV	3.55032385068243	6.03929353016931	20.624884676103	2.55741822926699e-11	1.48559769189855e-08	16.485649289466
NR2F2	2.09270038998072	9.11069924043052	20.7035589966932	2.43719934090377e-11	1.45301976495197e-08	16.4369075345844
FZD5	-3.56150614560261	6.06000904781041	-20.7604469805493	2.35406054931292e-11	1.45301976495197e-08	16.4293558256188
PDE5A	3.42332710832279	5.15863203749527	20.4186998467361	2.90377373132179e-11	1.64462484707738e-08	16.2923161814311
RBP1	-2.65204732328172	6.83921242757158	-20.247187982715	3.23035030765419e-11	1.74246633856918e-08	16.256462535398
STOM	3.07007620694982	5.64240175118994	20.1122828642008	3.51493797907477e-11	1.82455535336916e-08	16.1622695558839
SIX6	-3.16095733057985	6.97721946119541	-20.0734932129608	3.60166925490321e-11	1.82455535336916e-08	16.1471263485074
